lambda_micron,f_nu_mJy_z0.05_m10.0,f_nu_mJy_z0.05_m10.5,f_nu_mJy_z0.05_m11.0,f_nu_mJy_z0.1_m10.0,f_nu_mJy_z0.1_m10.5,f_nu_mJy_z0.1_m11.0,f_nu_mJy_z0.15_m10.0,f_nu_mJy_z0.15_m10.5,f_nu_mJy_z0.15_m11.0,f_nu_mJy_z0.2_m10.0,f_nu_mJy_z0.2_m10.5,f_nu_mJy_z0.2_m11.0
0.75,1.0036057075871032,3.271046158445878,6.394833077600417,0.3378785966956669,0.7314632306054488,1.5667271272069887,0.24989738193368904,0.34128296143697445,0.6473108311420235,0.22146948430922558,0.27611687803803175,0.292373827655584
0.7542542542542543,1.012595437869487,3.2844426962195787,6.443490552770733,0.3316846312267508,0.731823738158445,1.5759980694489863,0.3719065046932458,0.5945407684626094,0.6971869101928331,0.2277608578674188,0.27485992908049095,0.31364759617609683
0.7585085085085085,1.0165646268785564,3.25283941897783,6.675267354076041,0.3381537641243022,0.7466428953100088,1.6127399761264374,0.25761885944998136,0.44900425751240924,0.6852758975177693,0.2346961716623861,0.29317713087626024,0.31262904315191714
0.7627627627627628,1.0466436809116664,3.372581233990216,6.923424352206715,0.34072165486760764,0.7616579653903583,1.6432423367571847,0.25441246867316936,0.3487775797346771,0.6485973099245381,0.24734338482831925,0.29969114629954907,0.3129841708092682
0.767017017017017,1.0497038924201174,3.39211338614561,7.1194333687762095,0.3456616108790363,0.7776796653903981,1.655684484792181,0.25502537899402977,0.3490148660413118,0.6468397807574167,0.22542795650762276,0.28722438577475495,0.3268915550985072
0.7712712712712713,1.0867669125267132,3.478775312939951,7.308201345161137,0.3482100729597041,0.7835031866869615,1.679669731038627,0.25657867766259307,0.34727984951939433,0.6548707191911252,0.22572609334126653,0.29797206922316444,0.3337911706251222
0.7755255255255256,1.104015004738997,3.5003537650775236,7.622611347500228,0.3535791422839032,0.804247218881976,1.7181815133142595,0.25773835318358934,0.3503950402365451,0.6662736603108874,0.23599478317783518,0.28877632403992426,0.34273699922416967
0.7797797797797797,1.113562929899218,3.539437293414254,7.76476196382543,0.3481575501163549,0.7654817836493467,1.6747385958031145,0.2581505189868174,0.35394648704282733,0.6543139628219453,0.2764608666540309,0.28769225835255274,0.32597057730443735
0.784034034034034,1.1361813345946974,3.6013677288964074,7.935357358706304,0.34644003667192225,0.7367483797530129,1.6022511359831382,0.2610105896365441,0.36193025440173743,0.676796806069094,0.2984114091770172,0.2989599022075344,0.35510697098496247
0.7882882882882883,1.143828238982838,3.6659621974844763,8.191219181252624,0.3428989312095235,0.7500012757042108,1.5994878414578573,0.2581399191585676,0.35790832505178477,0.6754258204890409,0.31866337481704,0.33969066287494176,0.5122395860027629
